title,context
Area 51,"The same “Area XX” naming system has been used for other parts of the Nevada test site. Originally 6 by 10 miles, this rectangular base is now a part of the so-called “Groom Box”, which is a restricted airspace of 23 by 25.3 miles. The area is connected to the internal road management of the NTS, with paved roads leading south to Mercury and west to Yucca Flat. Moving northeast from the lake, the extensive and well-maintained Groom Lake roads pass through the tangled hills through a pass. First roads Groom Valley"
South Korea,"The Republic of Soth Korea is located in the southern part on the Korean Peninsula and is located 1,100 km from the mainland of Asia. The country has neighbors in the west, the Sea of Japan in the east, the Gulf of Korea in the south, North Korea in the north. The total area of the country is 99,617 square kilometers."
Asteroid spectral types,"Other spectral classes include the T-, D-, and V-types (4 Vesta). The Ld-type is a new class and has more extreme spectral features than the L-type asteroid. The new class of O-type asteroids has since only been assigned to the asteroid 3628 Božněmcová.A significant number of small asteroids were found to fall in the Q, R, and V types, which were represented by only a single body in the Tholen scheme. In the Bus and Binzel SMASS scheme only a single type was assigned to any particular asteroid."
Sushmita Banerjee,"Sushmita Banerjee (also Sushmita Bandopadhyay and Saida Kamal) (1963/1964 — 4/5 September 2013), was a writer and intellectual of India. His memoir Kabuliwalar Bengali Bou (Bengali Wife of a Kabuliwala; 1997) is based on his marriage to an Afghan and his experiences in Afghanistan during the Taliban rule. Based on his memoir, a Bollywood film Escape from Taliban has also been made."
Water,"Water is fundamental to photosynthesis and respiration. Photosynthetic cells use the sun's energy to separate water's hydrogen from oxygen. Hydrogen is combined with CO2 (absorbed from air or water) to release glucose and oxygen. All living cells used such fuel and oxidized hydrogen and carbon to obtain the sun's energy, using water and CO2 (cellular respiration) in the process."
Martha Stewart,"In September 1997, with the assistance of business partner Sharon Patrick, Stewart was able to secure funding to purchase the various television, print, and merchandising ventures related to the Martha Stewart brand, and consolidate them into a new company, named Martha Stewart Living Omnimedia (MSLO). Stewart served as chairwoman, president, and CEO of the new company and Patrick became Chief Operations Officer. By organizing all of the brand's assets under one roof, Stewart felt she could promote synergy and have greater control of the brand's direction through the business's activities. That same month, Stewart announced in Martha Stewart Living the launch of a companion website and a catalogue business, called Martha by Mail. The company also had a direct-to-consumer floral business."
Extreme programming,"Feedback from the team: When customers come up with new requirements in the planning game the team directly gives an estimation of the time that it will take to implement.Feedback is closely related to communication and simplicity. Flaws in the system are easily communicated by writing a unit test that proves a certain piece of code will break. The direct feedback from the system tells programmers to recode this part. A customer is able to test the system periodically according to the functional requirements, known as user stories. To quote Kent Beck, "Optimism is an occupational hazard of programming. Feedback is the treatment."
Philippines,"Ethnologue lists 186 individual languages in the Philippines, 182 of which are living languages, while 4 no longer have any known speakers. Most native languages are part of the Philippine branch of the Malayo-Polynesian languages, which is itself a branch of the Austronesian language family. One native language that is not classified as an Austronesian language are the various Spanish-based creole varieties collectively called Chavacano. There are also many Philippine Negrito languages that have unique vocabularies that survived Austronesian acculturation. Philippine media uses mainly Filipino and English. Other Philippine languages, including various Visayan languages are also used, especially in radio due to its ability to reach remote rural locations that might otherwise not be serviced by other kinds of media. The dominant television networks ABS-CBN, GMA and 5 also have extensive radio presence.The entertainment industry is vibrant and feeds broadsheets and tabloids with an unending supply of details about celebrities and sensationalist daily scandals. Drama and fantasy shows are anticipated as are Latin telenovelas, Asianovelas, and anime. Daytime television is dominated by game shows, variety shows, and talk shows such as Eat Bulaga and It's Showtime. Philippine cinema has a long history and is popular domestically, but has faced increasing competition from American, Asian and European films. Critically acclaimed directors and actors include Lino Brocka and Nora Aunor for films like Maynila: Sa mga Kuko ng Liwanag (Manila: In the Claws of Light) and Himala (Miracle). In recent years it has become common to see celebrities flitting between television and movies and then moving into politics provoking concerns."
300 (film),"300 was released in both conventional and IMAX theaters in the United States on March 9, 2007, and on DVD, Blu-ray Disc, and HD DVD on July 31, 2007. The film received mixed to positive reviews from critics, which included praise for its original visuals and style but criticism for its depiction of the Persians, which some characterized as bigoted or Iranophobic. Even so, the film was a box office success, grossing over $450 million, and the film's opening was the 24th-largest in box office history at the time. A sequel, titled Rise of an Empire, based on Miller's previously-unpublished graphic novel prequel Xerxes, was released on March 7, 2014. The plot revolves around King Leonidas (Gerard Butler), who leads 300 Spartans into battle against the Persian "God-King" Xerxes (Rodrigo Santoro) and his invading army of more than 300,000 soldiers. As the battle rages, Queen Gorgo (Lena Headey) attempts to rally support in Sparta for her husband. The story is framed by a voice-over narrative by the Spartan soldier Dilios (David Wenham). Through this narrative technique, various fantastical creatures are introduced, placing 300 within the genre of historical fantasy."
Yogurt,"Until the 1900s, yogurt was a staple in diets of people in the Russian Empire (and especially Central Asia and the Caucasus), Western Asia, South Eastern Europe/Balkans, Central Europe, and the Indian subcontinent. Stamen Grigorov (1878–1945), a Bulgarian student of medicine in Geneva, first examined the microflora of the Bulgarian yogurt. In 1905, he described it as consisting of a spherical and a rod-like lactic acid-producing bacteria. In 1907, the rod-like bacterium was called Bacillus bulgaricus (now Lactobacillus delbrueckii subsp. bulgaricus). The Russian Nobel laureate and biologist Ilya Mechnikov, from the Institut Pasteur in Paris, was influenced by Grigorov's work and hypothesized that regular consumption of yogurt was responsible for the unusually long lifespans of Bulgarian peasants. Believing Lactobacillus to be essential for good health, Mechnikov worked to popularize yogurt as a foodstuff throughout Europe."
Jack Welch,"John Francis "Jack" Welch Jr. (born November 19, 1935) is an American business executive, author, and chemical engineer. He was chairman and CEO of General Electric between 1981 and 2001. During his tenure at GE, the company's value rose 4,000%. In 2006, Welch's net worth was estimated at $720 million. When he retired from GE he received a severance payment of $417 million, the largest such payment in history."
Vladimir Putin,"Vladimir Vladimirovich Putin was born on 7 October 1952 in Leningrad, Russian SFSR, Soviet Union (now Saint Petersburg), the youngest of three children of Vladimir Spiridonovich Putin (1911–1999) and Maria Ivanovna Putina (née Shelomova; 1911–1998). Vladimir Spiridonovich's father was cook to Lenin. Putin's birth was preceded by the death of two brothers, Viktor and Albert, born in the mid-1930s. Albert died in infancy and Viktor died of diphtheria during the Siege of Leningrad in World War II. Putin's mother was a factory worker and his father was a conscript in the Soviet Navy, serving in the submarine fleet in the early 1930s. Early in World War II, his father served in the destruction battalion of the NKVD. Later, he was transferred to the regular army and was severely wounded in 1942. Putin's maternal grandmother was killed by the German occupiers of Tver region in 1941, and his maternal uncles disappeared at the war front.On 1 September 1960, Putin started at School No. 193 at Baskov Lane, near his home. He was one of a few in the class of approximately 45 pupils who was not yet a member of the Young Pioneer organization. At age 12, he began to practice sambo and judo. He is a Judo black belt and national master of sports in Sambo. He wished to emulate the intelligence officers portrayed in Soviet cinema. Putin studied German at Saint Petersburg High School 281 and speaks German fluently.Putin studied Law at the Leningrad State University (now Saint Petersburg State University) in 1970 and graduated in 1975. His thesis was on "The Most Favored Nation Trading Principle in International Law". While there, he was required to join the Communist Party of the Soviet Union and remained a member until December 1991. Putin met Anatoly Sobchak, an assistant professor who taught business law, was co-author of the Russian constitution, and who would be influential in Putin's career."
Seven deadly sins,"Envy (Latin, invidia), like greed and lust, is characterized by an insatiable desire. It can be described as a sad or resentful covetousness towards the traits or possessions of someone else. It arises from vainglory, and severs a man from his neighbor.Malicious envy is similar to jealousy in that they both feel discontent towards someone's traits, status, abilities, or rewards. A difference is that the envious also desire the entity and covet it. Envy can be directly related to the Ten Commandments, specifically, "Neither shall you covet ... anything that belongs to your neighbour"—a statement that may also be related to greed. Dante defined envy as "a desire to deprive other men of theirs". In Dante's Purgatory, the punishment for the envious is to have their eyes sewn shut with wire because they gained sinful pleasure from seeing others brought low. According to St. Thomas Aquinas, the struggle aroused by envy has three stages: during the first stage, the envious person attempts to lower another's reputation; in the middle stage, the envious person receives either "joy at another's misfortune" (if he succeeds in defaming the other person) or "grief at another's prosperity" (if he fails); the third stage is hatred because "sorrow causes hatred".Envy is said to be the motivation behind Cain murdering his brother, Abel, as Cain envied Abel because God favored Abel's sacrifice over Cain's. Gluttony (Latin, gula) is the overindulgence and overconsumption of anything to the point of waste.  The word derives from the Latin gluttire, meaning to gulp down or swallow."
Cell Culture,"Cells that are cultured directly from a subject are known as primary cells. With the exception of some derived from tumors, most primary cell cultures have limited lifespan. The 19th-century English physiologist Sydney Ringer developed salt solutions containing the chlorides of sodium, potassium, calcium and magnesium suitable for maintaining the beating of an isolated animal heart outside the body. In 1885, Wilhelm Roux removed a portion of the medullary plate of an embryonic chicken and maintained it in a warm saline solution for several days, establishing the principle of tissue culture.  Ross Granville Harrison, working at Johns Hopkins Medical School and then at Yale University, published results of his experiments from 1907 to 1910, establishing the methodology of tissue culture.Cell culture techniques were advanced significantly in the 1940s and 1950s to support research in virology. Growing viruses in cell cultures allowed preparation of purified viruses for the manufacture of vaccines. The injectable polio vaccine developed by Jonas Salk was one of the first products mass-produced using cell culture techniques. This vaccine was made possible by the cell culture research of John Franklin Enders, Thomas Huckle Weller, and Frederick Chapman Robbins, who were awarded a Nobel Prize for their discovery of a method of growing the virus in monkey kidney cell cultures."
Chronic obstructive pulmonary disease,"A chronic cough is often the first symptom to develop. Early on it may just occur occasionally or may not result in sputum. When a cough persists for more than three months each year for at least two years, in combination with sputum production and without another explanation, it is by definition chronic bronchitis. Chronic bronchitis can occur before the restricted airflow and thus COPD fully develops. The amount of sputum produced can change over hours to days. In some cases, the cough may not be present or may only occur occasionally and may not be productive. Some people with COPD attribute the symptoms to a "smoker's cough". Sputum may be swallowed or spat out, depending often on social and cultural factors. Vigorous coughing may lead to rib fractures or a brief loss of consciousness. Those with COPD often have a history of "common colds" that last a long time."
